name,url,circle/coordinates/0,circle/coordinates/1
"Siddhartha Fuel, Lokanthali",https://goo.gl/maps/8CP3LheA6Fy,27.6744783,85.357573
"Araniko Petrol Center, Kaushaltar",https://goo.gl/maps/htpUqPtGV9T2,27.6747016,85.3614929
"Madhyapur Oil Suppliers, Gathaghar",https://goo.gl/maps/zc9vWU6Hx9S2,27.6801675,85.3814395
"Jagul Oil Store, Thimi",https://goo.gl/maps/TFbj56QYWR12,27.6852018,85.361413
"Guheshwori Fuel Station, Thimi",https://goo.gl/maps/huhSTt6sCUA2,27.6744027,85.3672834
"Bagmati Oil Store, Thimi",https://goo.gl/maps/prCzedMyZM32,27.6736089,85.3846639
"Shanti Oil, Sallaghari",https://goo.gl/maps/aNXVoTeuFq12,27.6730828,85.4045981
"Suriya Binayak Oil Store, Sallaghari",https://goo.gl/maps/9SU7hv87rTk,27.6721297,85.4042097
"Hanuman Oil Store, Jagati",https://goo.gl/maps/Grdjp9DmEYA2,27.6644749,85.4353279
"New Maheswari Fuel Station, Jagati",https://goo.gl/maps/aifAitoeP462,27.6644749,85.4353279
" Bhakunde Besi Oil Store, Bhakunde Besi",https://goo.gl/maps/75SxeqTxLkM2,27.5579514,85.6335783

